3.9499,4.1571,4.6686,1.9254,6.3162,4.731,7.0695,3.8135,7.8102,5.6874
4.2726,6.2373,8.3481,6.6824,3.3308,2.6803,4.3916,6.2463,5.5915,8.0466
2.346,4.5093,6.2088,8.7809,3.9961,4.2823,6.0535,5.5846,6.8468,5.4936
5.9056,7.8497,5.5518,5.4682,7.5774,6.683,5.1779,3.683,6.692,5.456
5.4421,3.9391,8.4779,7.0811,5.7426,6.2495,7.7594,4.5503,2.7131,5.2332
4.1667,5.5243,6.5348,5.3445,7.555,4.9272,8.2634,7.4789,2.4019,7.7945
5.0166,4.1948,7.1231,5.8099,4.5675,5.984,5.6793,6.4938,5.3546,4.557
3.8982,4.176,6.295,7.2204,3.2721,2.4352,4.325,5.9384,5.7217,6.4168
5.8672,4.7365,4.6741,6.0751,4.9171,6.94,4.5223,4.3635,3.913,5.6641
6.3533,0.20375,4.4597,7.79,5.6176,5.2532,3.0187,3.8989,4.9613,5.5251
4.8026,7.3981,5.4359,8.9209,3.0134,9.1932,3.5847,6.1965,5.2526,3.9467
6.767,7.899,3.182,3.634,5.1973,6.5086,7.9356,3.4127,1.5684,4.9208
6.7602,3.3334,4.5642,7.9185,4.5557,5.275,5.087,5.5668,7.7489,3.5158
5.6315,5.6591,4.487,4.7439,4.0213,4.8669,3.2794,5.0432,3.0852,7.7382
6.3869,3.177,3.6171,5.6017,4.8697,2.1222,5.3951,7.2177,4.9026,5.4435
4.4098,6.0352,3.096,6.2471,5.1253,4.0447,5.0829,4.4974,7.8067,2.846
3.9737,5.7094,5.1266,6.2553,4.6483,6.2005,7.4379,7.0524,5.08,6.2587
7.9067,5.1984,7.0048,5.6095,2.3196,4.2882,4.3427,7.0722,5.3452,6.1331
6.2106,4.9888,6.8187,6.161,4.3296,5.5303,3.7263,6.3563,4.5473,4.7316
4.1301,5.1866,2.4354,6.3969,2.051,5.7516,5.2514,4.0512,3.16,3.1298
5.1143,3.7845,4.9093,4.5727,3.2656,4.9401,6.2539,3.0459,1.9019,4.6238
6.8138,4.711,3.4017,3.7136,5.166,8.4046,5.0451,5.5661,3.5935,5.0744
7.3352,6.5681,4.2024,4.942,6.7701,7.4095,3.3626,5.9308,5.4328,4.9845
4.4748,3.25,2.0384,6.4027,5.1549,3.9909,5.2976,6.09,2.8312,8.6246
3.9335,5.2597,3.9313,4.3765,6.6746,6.9479,5.3541,5.5003,7.817,5.6132
6.4903,6.1719,7.4131,5.083,5.6998,5.4223,5.9893,3.5537,2.2676,4.4412
6.3607,6.5644,4.5518,4.8897,4.8309,5.4246,3.6475,4.8462,5.2633,6.3568
5.8736,3.8402,6.4142,5.0917,3.3086,8.8796,5.5193,4.5213,3.2601,5.4046
5.4841,3.3928,4.0548,7.1838,5.9446,7.402,3.5092,4.0798,5.8696,8.3098
4.5192,5.7071,8.7614,4.6727,5.0595,6.3094,4.5435,5.98,5.0981,5.0066
3.9371,7.1246,4.304,5.1739,3.3676,2.6434,7.0812,5.8034,1.7376,7.399
6.2559,4.9539,3.5967,3.1391,6.1805,3.7848,6.1609,7.072,4.9629,7.5596
5.3924,5.9442,4.1879,5.2346,4.3885,3.0049,2.2899,4.2419,3.9531,7.7963
4.2217,3.4855,3.5206,6.5388,3.5639,4.8929,4.3997,4.0088,5.1041,4.7167
5.6296,2.5208,6.4655,7.0404,3.1557,4.0007,4.9919,7.2433,5.0427,3.4497
3.8429,3.9292,5.6852,3.2791,2.195,7.9356,4.2516,4.7761,4.4116,5.6909
2.3006,6.0805,4.5032,5.7092,3.9928,6.547,4.8495,3.644,5.0277,2.7678
4.266,5.6637,5.7189,8.1018,4.1403,6.1981,3.4715,5.875,8.1952,3.8166
4.6162,4.6093,5.7107,3.3098,6.7234,5.8097,5.2824,2.6926,6.5709,2.9251
